Scenario,Model,Road,Weather,Scenario_ID,Position,Rotation,Velocity,Angular Velocity,Overall
7_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road2,Rainy Night,24,18.75,20.0,7.5,20.0,16.5625
1_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road2,Sunny Day,25,-2.5,-3.75,-2.5,-0.25,-2.25
2_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road2,Sunny Day,26,-5.0,-5.0,7.5,7.5,1.25
3_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road2,Sunny Day,27,-2.5,0.0,-2.5,0.0,-1.25
5_scenario_0_rl_based-strategy_reward-jerk,llama-v2-13b-chat,Road2,Sunny Day,28,18.75,20.0,20.0,20.0,19.6875
12_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road2,Clear Night,29,20.0,20.0,20.0,20.0,20.0
14_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road2,Clear Night,30,7.5,20.0,7.5,7.5,10.625
18_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road2,Clear Night,31,-0.5,-0.5,-1.25,-1.5,-0.9375
4_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road2,Clear Night,32,0.0,-5.0,0.0,-1.75,-1.6875
12_scenario_0_rl_based-strategy_reward-ttc,llama-v2-13b-chat,Road3,Rainy Day,33,20.0,7.5,20.0,-3.75,10.9375
13_scenario_0_rl_based-strategy_reward-ttc,llama-v2-13b-chat,Road3,Rainy Day,34,20.0,20.0,7.5,20.0,16.875
4_scenario_0_random-strategy_reward-jerk,llama-v2-13b-chat,Road3,Rainy Day,35,20.0,20.0,20.0,20.0,20.0
5_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road3,Rainy Day,36,-5.0,-2.5,-2.5,-5.0,-3.75
12_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Rainy Night,37,0.0,0.0,-2.5,0.0,-0.625
13_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Rainy Night,38,20.0,20.0,20.0,20.0,20.0
5_scenario_0_random-strategy_reward-ttc,llama-v2-13b-chat,Road3,Rainy Night,39,20.0,20.0,20.0,20.0,20.0
7_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Rainy Night,40,-5.0,7.5,20.0,20.0,10.625
1_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Sunny Day,41,-2.25,-2.5,-2.75,-2.25,-2.4375
3_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Sunny Day,42,-5.0,-5.0,7.5,-5.0,-1.875
8_scenario_0_greedy-strategy_reward-ttc,llama-v2-13b-chat,Road3,Sunny Day,43,0.0,0.0,0.0,0.0,0.0
8_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Sunny Day,44,-5.0,-5.0,7.5,7.5,1.25
11_scenario_0_rl_based-strategy_reward-ttc,llama-v2-13b-chat,Road3,Clear Night,45,7.5,20.0,20.0,-5.0,10.625
14_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road3,Clear Night,46,-4.75,0.0,0.0,0.0,-1.1875
3_scenario_0_random-strategy_reward-dto,llama-v2-13b-chat,Road3,Clear Night,47,-4.0,-4.0,-4.0,5.5,-1.625
4_scenario_0_random-strategy_reward-jerk,llama-v2-13b-chat,Road3,Clear Night,48,-4.5,6.5,6.75,9.25,4.5
3_scenario_0_random-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Day,49,20.0,20.0,20.0,20.0,20.0
5_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Day,50,0.0,0.0,0.0,0.0,0.0
8_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Day,51,20.0,20.0,20.0,20.0,20.0
9_scenario_0_random-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Day,52,20.0,20.0,20.0,20.0,20.0
11_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Night,53,20.0,20.0,20.0,20.0,20.0
2_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Night,54,20.0,20.0,20.0,20.0,20.0
3_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road4,Rainy Night,55,20.0,20.0,20.0,20.0,20.0
9_scenario_0_random-strategy_reward-ttc,llama-v2-13b-chat,Road4,Rainy Night,56,6.5,-4.5,17.5,6.75,6.5625
11_scenario_0_rl_based-strategy_reward-dto,llama-v2-13b-chat,Road4,Sunny Day,57,0.0,0.0,0.0,0.0,0.0
17_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road4,Sunny Day,58,15.25,-4.0,-4.0,-4.0,0.8125
7_scenario_0_random-strategy_reward-dto,llama-v2-13b-chat,Road4,Sunny Day,59,6.5,17.5,17.5,17.5,14.75
8_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road4,Sunny Day,60,20.0,20.0,20.0,20.0,20.0
12_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road4,Clear Night,61,20.0,20.0,20.0,20.0,20.0
15_scenario_0_greedy-strategy_reward-dto,llama-v2-13b-chat,Road4,Clear Night,62,7.5,20.0,20.0,20.0,16.875
4_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road4,Clear Night,63,0.0,0.0,0.0,0.0,0.0
7_scenario_0_greedy-strategy_reward-jerk,llama-v2-13b-chat,Road4,Clear Night,64,20.0,6.25,20.0,20.0,16.5625
18_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Rainy Day,1,20.0,20.0,20.0,17.5,19.375
3_scenario_0_random-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Rainy Day,2,-2.5,0.0,0.0,0.0,-0.625
7_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road1,Rainy Day,3,7.5,15.0,-5.0,-5.0,3.125
7_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Rainy Day,4,20.0,20.0,20.0,20.0,20.0
10_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road1,Rainy Night,5,0.0,0.0,0.0,0.0,0.0
1_scenario_0_rl_based-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Rainy Night,6,0.0,0.0,0.0,0.0,0.0
5_scenario_0_greedy-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Rainy Night,7,0.0,0.0,0.0,0.0,0.0
9_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Rainy Night,8,0.0,0.0,0.0,0.0,0.0
15_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Sunny Day,9,7.5,20.0,20.0,20.0,16.875
17_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Sunny Day,10,0.0,0.0,0.0,0.0,0.0
18_scenario_0_greedy-strategy_reward-ttc,mistral-7b-instruct-4k,Road1,Sunny Day,11,-2.5,0.0,0.0,-0.5,-0.75
1_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Sunny Day,12,-5.0,20.0,-5.0,20.0,7.5
12_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Clear Night,13,20.0,20.0,7.5,-5.0,10.625
14_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Clear Night,14,-5.0,20.0,-5.0,-3.75,1.5625
18_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road1,Clear Night,15,-4.5,0.0,-5.0,-4.5,-3.5
4_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road1,Clear Night,16,20.0,20.0,20.0,20.0,20.0
16_scenario_0_random-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Rainy Day,17,-2.5,0.0,0.0,0.0,-0.625
19_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road2,Rainy Day,18,0.0,0.0,-2.5,0.0,-0.625
2_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Rainy Day,19,3.75,-5.0,-5.0,20.0,3.4375
8_scenario_0_random-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Rainy Day,20,-1.75,0.0,0.0,-2.5,-1.0625
14_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Rainy Night,21,20.0,20.0,20.0,16.25,19.0625
2_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Rainy Night,22,0.0,0.0,0.0,0.0,0.0
2_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Rainy Night,23,-2.5,-2.5,-0.25,0.0,-1.3125
7_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Rainy Night,24,0.0,0.0,0.0,0.0,0.0
1_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Sunny Day,25,0.0,0.0,0.0,0.0,0.0
2_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Sunny Day,26,0.0,-2.5,0.0,0.0,-0.625
3_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Sunny Day,27,7.5,-5.0,-5.0,-5.0,-1.875
5_scenario_0_rl_based-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Sunny Day,28,7.5,-3.75,7.5,-5.0,1.5625
12_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Clear Night,29,20.0,20.0,11.25,20.0,17.8125
14_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Clear Night,30,7.5,-5.0,20.0,20.0,10.625
18_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road2,Clear Night,31,-5.0,-5.0,7.5,20.0,4.375
4_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road2,Clear Night,32,7.5,1.25,7.5,20.0,9.0625
12_scenario_0_rl_based-strategy_reward-ttc,mistral-7b-instruct-4k,Road3,Rainy Day,33,-2.5,-3.25,-2.5,0.0,-2.0625
13_scenario_0_rl_based-strategy_reward-ttc,mistral-7b-instruct-4k,Road3,Rainy Day,34,-2.5,-5.0,0.0,-5.0,-3.125
4_scenario_0_random-strategy_reward-jerk,mistral-7b-instruct-4k,Road3,Rainy Day,35,20.0,20.0,7.5,7.5,13.75
5_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road3,Rainy Day,36,0.0,-2.5,0.0,0.0,-0.625
12_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Rainy Night,37,7.5,20.0,-5.0,20.0,10.625
13_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Rainy Night,38,7.5,20.0,20.0,20.0,16.875
5_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road3,Rainy Night,39,20.0,20.0,20.0,7.5,16.875
7_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Rainy Night,40,-2.5,-2.5,-3.5,0.0,-2.125
1_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Sunny Day,41,20.0,20.0,20.0,20.0,20.0
3_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Sunny Day,42,20.0,20.0,20.0,20.0,20.0
8_scenario_0_greedy-strategy_reward-ttc,mistral-7b-instruct-4k,Road3,Sunny Day,43,-2.5,2.5,2.5,8.25,2.6875
8_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Sunny Day,44,-5.0,-2.5,-5.0,0.0,-3.125
11_scenario_0_rl_based-strategy_reward-ttc,mistral-7b-instruct-4k,Road3,Clear Night,45,-1.5,-0.5,-1.5,-2.5,-1.5
14_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Clear Night,46,0.0,0.0,-2.5,0.0,-0.625
3_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road3,Clear Night,47,0.0,0.0,0.0,0.0,0.0
4_scenario_0_random-strategy_reward-jerk,mistral-7b-instruct-4k,Road3,Clear Night,48,7.5,-5.0,3.75,20.0,6.5625
3_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Day,49,-3.75,-1.0,0.0,0.0,-1.1875
5_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Day,50,20.0,20.0,20.0,20.0,20.0
8_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Day,51,20.0,17.5,10.0,7.5,13.75
9_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Day,52,-3.5,-3.5,4.5,0.25,-0.5625
11_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Night,53,-5.0,-5.0,-5.0,7.5,-1.875
2_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Night,54,0.0,0.0,0.0,0.0,0.0
3_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Rainy Night,55,0.0,0.0,0.0,0.0,0.0
9_scenario_0_random-strategy_reward-ttc,mistral-7b-instruct-4k,Road4,Rainy Night,56,0.0,0.0,0.0,0.0,0.0
11_scenario_0_rl_based-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Sunny Day,57,17.5,20.0,7.5,20.0,16.25
17_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Sunny Day,58,0.0,-5.0,0.0,0.0,-1.25
7_scenario_0_random-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Sunny Day,59,-0.5,-0.5,-1.0,1.0,-0.25
8_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road4,Sunny Day,60,7.5,20.0,20.0,20.0,16.875
12_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road4,Clear Night,61,7.5,20.0,10.0,-2.5,8.75
15_scenario_0_greedy-strategy_reward-dto,mistral-7b-instruct-4k,Road4,Clear Night,62,0.0,0.0,-1.5,0.0,-0.375
4_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road4,Clear Night,63,20.0,20.0,20.0,20.0,20.0
7_scenario_0_greedy-strategy_reward-jerk,mistral-7b-instruct-4k,Road4,Clear Night,64,20.0,20.0,20.0,20.0,20.0
